DATE,RM-RF,SMB,HML,UMD,RF
199001,-0.0785,-0.0124,0.0085,-0.0327,0.0057
199002,0.0111,0.0099,0.0064,-0.0055,0.0057
199003,0.0183,0.015,-0.0292,0.018,0.0064
199004,-0.0336,-0.0046,-0.0259,0.0239,0.0069
199005,0.0842,-0.0253,-0.0383,0.0303,0.0068
199006,-0.0109,0.014,-0.0193,0.024,0.0063
199007,-0.019,-0.0312,-0.0003,0.061,0.0068
199008,-0.1015,-0.0357,0.0164,0.0188,0.0066
199009,-0.0612,-0.0365,0.0064,0.0578,0.006
199010,-0.0192,-0.0557,0.001,0.0671,0.0068
199011,0.0635,0.0043,-0.031,-0.0548,0.0057
199012,0.0246,0.0081,-0.017,0.0029,0.006
199101,0.0469,0.0381,-0.016,-0.0645,0.0052
199102,0.0719,0.0395,-0.0058,-0.0461,0.0048
199103,0.0265,0.0393,-0.0139,0.0287,0.0044
199104,-0.0028,0.0048,0.015,-0.0236,0.0053
199105,0.0365,-0.004,-0.0052,-0.0011,0.0047
199106,-0.0494,0.0013,0.0115,0.0047,0.0042
199107,0.0424,-0.0092,-0.0132,0.0432,0.0049
199108,0.0232,0.0158,-0.0078,0.0157,0.0046
199109,-0.0159,0.0164,-0.0108,0.0179,0.0046
199110,0.0129,0.0081,-0.0047,0.0306,0.0042
199111,-0.0419,-0.005,-0.0189,0.0114,0.0039
199112,0.1084,-0.0224,-0.0417,0.0819,0.0038
199201,-0.0059,0.0846,0.0471,-0.0249,0.0034
199202,0.0109,0.0087,0.0647,-0.0053,0.0028
199203,-0.0266,-0.0104,0.0356,-0.0029,0.0034
199204,0.0107,-0.0606,0.0434,-0.0258,0.0032
199205,0.003,0.0041,0.0119,0.0021,0.0028
199206,-0.0234,-0.0307,0.0324,-0.0058,0.0032
199207,0.0377,-0.0047,-0.0056,0.0156,0.0031
199208,-0.0238,-0.0013,-0.011,-0.0051,0.0026
199209,0.0119,0.0054,-0.0026,0.0149,0.0026
199210,0.0102,0.0209,-0.0198,0.0248,0.0023
199211,0.0413,0.0376,-0.0135,-0.0015,0.0023
199212,0.0153,0.0169,0.0262,0.0431,0.0028
199301,0.0093,0.0189,0.0594,0.0483,0.0023
199302,0.0012,-0.0348,0.0642,0.0314,0.0022
199303,0.023,0.0024,0.0118,0.0373,0.0025
199304,-0.0305,-0.0067,0.0249,0.0038,0.0024
199305,0.0289,0.0204,-0.0342,0.0022,0.0022
199306,0.0031,-0.0029,0.0275,0.0455,0.0025
